Validation_Set,Topics,Alpha,Beta,Coherence
All,12,0.01,0.01,0.38496174920682596
All,12,0.01,0.31,0.36818129809869043
All,12,0.01,0.61,0.3660017969358896
All,12,0.01,0.9099999999999999,0.38236125506679647
All,12,0.01,symmetric,0.3648641625790449
All,12,0.31,0.01,0.43998762010065934
All,12,0.31,0.31,0.4185888162233105
All,12,0.31,0.61,0.40886838491509764
All,12,0.31,0.9099999999999999,0.3928894297987719
All,12,0.31,symmetric,0.41042693130771807
All,12,0.61,0.01,0.43594485886906204
All,12,0.61,0.31,0.4063277574265876
All,12,0.61,0.61,0.3882776945983144
All,12,0.61,0.9099999999999999,0.41284349511342827
All,12,0.61,symmetric,0.3941267456624984
All,12,0.9099999999999999,0.01,0.4260809500125835
All,12,0.9099999999999999,0.31,0.40021739109406407
All,12,0.9099999999999999,0.61,0.4006051188579695
All,12,0.9099999999999999,0.9099999999999999,0.38567894255002183
All,12,0.9099999999999999,symmetric,0.3921431127199692
All,12,symmetric,0.01,0.41248531212932865
All,12,symmetric,0.31,0.37675469831624064
All,12,symmetric,0.61,0.36134725666829254
All,12,symmetric,0.9099999999999999,0.3716121736125298
All,12,symmetric,symmetric,0.38037548340433175
All,12,asymmetric,0.01,0.3680351046889494
All,12,asymmetric,0.31,0.3685655729771458
All,12,asymmetric,0.61,0.3930178983993122
All,12,asymmetric,0.9099999999999999,0.4016178428433655
All,12,asymmetric,symmetric,0.3826483485229582
All,16,0.01,0.01,0.44496745971455964
All,16,0.01,0.31,0.39991103696628794
All,16,0.01,0.61,0.40423941418627546
All,16,0.01,0.9099999999999999,0.4256027435323072
All,16,0.01,symmetric,0.41712379300862923
All,16,0.31,0.01,0.4993568292282137
All,16,0.31,0.31,0.4475403059789841
All,16,0.31,0.61,0.45372285056318773
All,16,0.31,0.9099999999999999,0.45664649313718036
All,16,0.31,symmetric,0.4882418966910794
All,16,0.61,0.01,0.4622497595490629
All,16,0.61,0.31,0.4198491249334202
All,16,0.61,0.61,0.42574337817506
All,16,0.61,0.9099999999999999,0.42620194369584063
All,16,0.61,symmetric,0.4659246541235851
All,16,0.9099999999999999,0.01,0.455365926453539
All,16,0.9099999999999999,0.31,0.40111717536972
All,16,0.9099999999999999,0.61,0.40332510052829823
All,16,0.9099999999999999,0.9099999999999999,0.4000626677742096
All,16,0.9099999999999999,symmetric,0.4663773171844253
All,16,symmetric,0.01,0.4736849558449442
All,16,symmetric,0.31,0.4128788798214622
All,16,symmetric,0.61,0.41167148516138663
All,16,symmetric,0.9099999999999999,0.4049988177838296
All,16,symmetric,symmetric,0.45707537989439573
All,16,asymmetric,0.01,0.4886034165586125
All,16,asymmetric,0.31,0.4207016216733091
All,16,asymmetric,0.61,0.43522647666380443
All,16,asymmetric,0.9099999999999999,0.4443388147112423
All,16,asymmetric,symmetric,0.42625327948199787
